iter	MultiClass
117	0.8220576751
118	0.8209599861
119	0.8191495409
120	0.818004585
121	0.8164379777
122	0.8155485756
123	0.8142958143
124	0.8132637216
125	0.8122925273
126	0.8111181618
127	0.8102969766
128	0.8093415721
129	0.808622807
130	0.8077434752
131	0.8065175856
132	0.8053577879
133	0.8044449282
134	0.8037290278
135	0.8027179091
136	0.8017832995
137	0.8007042721
138	0.7999409678
139	0.7993925868
140	0.7979348757
141	0.7969618518
142	0.795875689
143	0.794792106
144	0.793712466
145	0.7929824481
146	0.7921637314
147	0.7914741381
148	0.7904731118
149	0.7899372762
150	0.7891662981
151	0.7883104385
152	0.787648266
153	0.7868838398
154	0.7863530901
155	0.785561639
156	0.7844236591
157	0.7837437893
158	0.7831876123
159	0.7825709681
160	0.7819027952
161	0.7813127404
162	0.7804378865
163	0.7798689901
164	0.7792457572
165	0.7772994302
166	0.7767184658
167	0.7759466521
168	0.775348701
169	0.7744755415
170	0.7739990856
171	0.7733621512
172	0.7729417825
173	0.7722662651
174	0.7715374836
175	0.7708653243
176	0.7703781482
177	0.7698558576
178	0.7693239894
179	0.7685541532
180	0.7678694993
181	0.7673360001
182	0.7667644001
183	0.7661445245
184	0.7653608871
185	0.7647318655
186	0.7642245228
187	0.7636311089
188	0.7632789402
189	0.7628736527
190	0.7620937101
191	0.7617460167
192	0.7612611855
193	0.7604306076
194	0.7597191725
195	0.7591752757
196	0.7585899637
197	0.7578366205
198	0.7568898382
199	0.7562858024
200	0.7556982991
201	0.7550437094
202	0.7542518117
203	0.7537638545
204	0.7530578905
205	0.7524580172
206	0.7520544674
207	0.7515683767
208	0.7510495577
209	0.7504156769
210	0.7500723082
211	0.7496937041
212	0.7493117122
213	0.7490201718
214	0.7484656328
215	0.7481125342
216	0.7476242323
217	0.7471973287
218	0.7466166756
219	0.745854175
220	0.7455899516
221	0.7450542419
222	0.7448330542
223	0.7441348564
224	0.7435268486
225	0.7429458543
226	0.7423112231
227	0.7418903519
228	0.7414564084
229	0.7411623326
230	0.7406474376
231	0.7400267593
232	0.7394924153
233	0.7390104937
234	0.7386864661
235	0.7382706299
236	0.7379924071
237	0.7376762336
238	0.7372697242
239	0.7369033419
240	0.736094651
241	0.7354766012
242	0.7351299204
243	0.7347497445
244	0.7343496196
245	0.7339196244
246	0.73355362
247	0.7331406259
248	0.7324717117
249	0.7318824694
250	0.7310568604
251	0.7307977706
252	0.7305602232
253	0.7304081384
254	0.7299832556
255	0.7297525788
256	0.7292949153
257	0.7291185025
258	0.7284101795
259	0.7279378456
260	0.727612922
261	0.7269313052
262	0.7263955982
263	0.7260242894
264	0.7254284987
265	0.72523935
266	0.7249244911
267	0.7244735663
268	0.7240156377
269	0.7237913671
270	0.7234400288
271	0.7231944389
272	0.7225470268
273	0.7221045268
274	0.7218840967
275	0.721369374
276	0.7210563446
277	0.7207643976
278	0.7202380964
279	0.7197210967
280	0.7194839213
281	0.7190224221
282	0.7186080006
283	0.7182199111
284	0.7180650898
285	0.7178114041
286	0.7175271955
287	0.717238374
288	0.7165694114
289	0.7162601311
290	0.7158460893
291	0.7154342894
292	0.7150700256
293	0.714761079
294	0.7144783553
295	0.7142896668
296	0.7138779858
297	0.7132018791
298	0.712885984
299	0.7125889629
300	0.7123725907
301	0.7121670318
302	0.7119318372
303	0.7115471986
304	0.7109931998
305	0.7108701143
306	0.7106554391
307	0.7101231509
308	0.7096582689
309	0.7090421295
310	0.7088053799
311	0.7086880216
312	0.7082452395
313	0.7080013516
314	0.7076890101
315	0.707063204
316	0.706642738
317	0.7063001119
318	0.7058898165
319	0.7057200961
320	0.7053197429
321	0.7051941687
322	0.7049807953
323	0.7047296781
324	0.7045657909
325	0.7042805008
326	0.7040300158
327	0.7036191022
328	0.7034555505
329	0.7031957968
330	0.7027182595
331	0.7025313903
332	0.7021132603
333	0.7017251962
334	0.7013705219
335	0.7012722071
336	0.7009699644
337	0.7006914088
338	0.7003205666
339	0.7000112395
340	0.6996602234
341	0.6993734837
342	0.6986593651
343	0.698348864
344	0.6981176025
345	0.6979839867
346	0.6975892686
347	0.6973843658
348	0.6971231137
349	0.6969279478
350	0.6966640313
351	0.6963390997
352	0.6960252679
353	0.6955100448
354	0.6953221192
355	0.6951988147
356	0.6950677424
357	0.6946470121
358	0.6944403777
359	0.694235449
360	0.6940522081
361	0.6935991473
362	0.6922978182
363	0.6921525263
364	0.6915854119
365	0.691451982
366	0.6909553556
367	0.6908357455
368	0.6906644723
369	0.6903308322
370	0.6900367659
371	0.6897858787
372	0.6896357776
373	0.6894766364
374	0.6886732312
375	0.6883811489
376	0.688277387
377	0.6877320314
378	0.687628237
379	0.6875204815
380	0.687266794
381	0.6868336398
382	0.686694493
383	0.6864806868
384	0.6862323201
385	0.6860920994
386	0.6856211568
387	0.6854720516
388	0.6853279942
389	0.6849398375
390	0.6846287793
391	0.6842822448
392	0.6837179226
393	0.6825414688
394	0.682197989
395	0.6820914734
396	0.6819489011
397	0.6817265607
398	0.6816124698
399	0.6814974649
400	0.6812043602
401	0.6810690228
402	0.6809136101
403	0.6804178913
404	0.6800760245
405	0.6797790967
406	0.6793158099
407	0.6791706477
408	0.6787885912
409	0.6786582904
410	0.6785618349
411	0.6783613828
412	0.678257942
413	0.678109088
414	0.6775747236
415	0.677303357
416	0.6771444119
417	0.6769784628
418	0.6767175986
419	0.6765464096
420	0.6764511377
421	0.6762005447
422	0.675934087
423	0.6757845532
424	0.6755335912
425	0.6752590911
426	0.6751138238
427	0.6749977799
428	0.6748898944
429	0.6747195636
430	0.674544045
431	0.6744128
432	0.6740604912
433	0.6739714185
434	0.6738296658
435	0.6737344312
436	0.6732660507
437	0.6731419141
438	0.6728791931
439	0.6727994476
440	0.6726715132
441	0.6725672692
442	0.672230331
443	0.6719840084
444	0.6718186022
445	0.6714674354
446	0.671364082
447	0.6711932358
448	0.6709533829
449	0.6707515491
450	0.6706582842
451	0.6705336019
452	0.670032332
453	0.6698557548
454	0.6694660898
455	0.6693184
456	0.6692265172
457	0.6690926022
458	0.6687338442
459	0.6686501442
460	0.6684894318
461	0.6683376419
462	0.6681024018
463	0.6679080186
464	0.6675369722
465	0.6674413307
466	0.6671725754
467	0.6670573101
468	0.6669583491
469	0.6664989523
470	0.6662268167
471	0.6658709682
472	0.6656175102
473	0.6652523947
474	0.6651719087
475	0.6650661377
476	0.6649647505
477	0.6647148678
478	0.6645987884
479	0.6645070039
480	0.664378742
481	0.6641654677
482	0.6640954312
483	0.6638730818
484	0.6637917864
485	0.6636951723
486	0.6636093233
487	0.6633253165
488	0.6630830503
489	0.6629430023
490	0.6625822645
491	0.662213732
492	0.6620941966
493	0.6619132028
494	0.6617270382
495	0.6616427584
496	0.6615539796
497	0.6612584714
498	0.6611420918
499	0.6610299811
500	0.6607610757
501	0.6604520252
502	0.6601677022
503	0.6600559408
504	0.6599056527
505	0.6596053138
506	0.6595065511
507	0.659390303
508	0.6593363272
509	0.6590517893
510	0.6588023276
511	0.6586018955
512	0.6583116413
513	0.6581602835
514	0.6580527445
515	0.6577916367
516	0.6574749362
517	0.6571514377
518	0.6568045422
519	0.6565113342
520	0.6564425961
521	0.6562089462
522	0.656044016
523	0.6559737364
524	0.6557598936
525	0.6556819838
526	0.6556069066
527	0.655399724
528	0.6553298931
529	0.6547578392
530	0.6545810123
531	0.6543458347
532	0.6542453003
533	0.6540407632
534	0.653834715
535	0.6534703322
536	0.6533770862
537	0.6531832863
538	0.6531162043
539	0.6529395828
540	0.6528701809
541	0.6526709492
542	0.6525272919
543	0.6524639186
544	0.6523954264
545	0.6522080607
546	0.6519483211
547	0.6515701919
548	0.6514947666
549	0.6514000212
550	0.6512940516
551	0.6511504494
552	0.6510132117
553	0.6508048139
554	0.6505597355
555	0.6504903574
556	0.650349268
557	0.65023798
558	0.6501193666
559	0.6499743626
560	0.6494095631
561	0.6492198312
562	0.6489657931
563	0.6488532658
564	0.648666965
565	0.6485681387
566	0.6483259009
567	0.6482156428
568	0.648147246
569	0.6480700333
570	0.6477865125
571	0.6473856472
572	0.6471433399
573	0.6470850108
574	0.6466946777
575	0.6466204565
576	0.6464657973
577	0.64638755
578	0.6462048545
579	0.6461465795
580	0.6460557926
581	0.6459537746
582	0.645760338
583	0.6456565326
584	0.6454254819
585	0.6450815056
586	0.6448799706
587	0.6447854996
588	0.6445140375
589	0.6443602668
590	0.6442258387
591	0.6439430899
592	0.6438328833
593	0.6434873815
594	0.6434084762
595	0.6429535475
596	0.6427585193
597	0.6426275038
598	0.6425583025
599	0.642378072
600	0.6421442054
601	0.6420859355
602	0.6418381134
603	0.641746255
604	0.6416730265
605	0.641335614
606	0.6411640348
607	0.6407233882
608	0.6406281906
609	0.6403310168
610	0.6402224387
611	0.6400884569
612	0.6399244251
613	0.6396781643
614	0.6395753673
615	0.63937216
616	0.639253384
617	0.6390531843
618	0.638942234
619	0.6385085097
620	0.638259974
621	0.6382003487
622	0.6381166053
623	0.6377741727
624	0.6377087334
625	0.6376139173
626	0.6375055897
627	0.6374403603
628	0.6373611128
629	0.6372978279
630	0.6371368272
631	0.6369822781
632	0.6368354924
633	0.6366118572
634	0.6364292158
635	0.6363385278
636	0.6361658341
637	0.6359576409
638	0.6358387556
639	0.635759749
640	0.6354594925
641	0.635389521
642	0.63523447
643	0.6349519095
644	0.6347010025
645	0.6345845041
646	0.634142671
647	0.6339671931
648	0.6339086958
649	0.6338655111
650	0.6337950052
651	0.6337268105
652	0.6334606236
653	0.6332352148
654	0.6331322854
655	0.6329068931
656	0.6325726848
657	0.6323573036
658	0.6322929569
659	0.6322334094
660	0.6321885371
661	0.6319299714
662	0.6318654346
663	0.631799132
664	0.6315803185
665	0.6314172652
666	0.6312596174
667	0.6309948178
668	0.6306915166
669	0.6304510596
670	0.6303040967
671	0.6302446639
672	0.6302073463
673	0.6301626774
674	0.630091964
675	0.62981963
676	0.6297485271
677	0.629452383
678	0.6291134462
679	0.6290827607
680	0.6289449222
681	0.6288521332
682	0.6286993525
683	0.6286085565
684	0.62856272
685	0.6283116554
686	0.6280792481
687	0.6278862715
688	0.6277812453
689	0.6277257139
690	0.6275060559
691	0.6274482958
692	0.6272856237
693	0.6271000698
694	0.6268269412
695	0.626658346
696	0.6265155816
697	0.6263979202
698	0.6262895076
699	0.626208573
700	0.6260080617
701	0.6258746174
702	0.625689628
703	0.6256346883
704	0.6254985214
705	0.6254529788
706	0.6251678714
707	0.6249445936
708	0.6249002264
709	0.6247921175
710	0.6246704781
711	0.6243102167
712	0.6242055418
713	0.6241280888
714	0.6240689138
715	0.6240289331
716	0.623970589
717	0.6238849037
718	0.6238202019
719	0.623518738
720	0.6234738191
721	0.6232940615
722	0.6232418191
723	0.6231972384
724	0.6230930988
725	0.6229212575
726	0.6225763529
727	0.6225264531
728	0.6224814983
729	0.6224234628
730	0.6223776941
731	0.622300359
732	0.6222470937
733	0.6221363209
734	0.6218866242
735	0.6214387716
736	0.6213069866
737	0.621046614
738	0.6207507288
739	0.6206779649
740	0.6206390887
741	0.6203307762
742	0.6201904857
743	0.6200972655
744	0.6199723236
745	0.6198568301
746	0.6197706671
747	0.6196815109
748	0.6193814134
749	0.6193210104
750	0.6192816287
751	0.6191984431
752	0.6191573315
753	0.6186239485
754	0.6184244353
755	0.6182902454
756	0.6180966938
757	0.6178948559
758	0.6177810213
759	0.6177452135
760	0.6175679429
761	0.617509328
762	0.6172948534
763	0.6171291227
764	0.6169321331
765	0.616626169
766	0.6165267249
767	0.6163553722
768	0.6162530982
769	0.6160510735
770	0.6158786627
771	0.615655862
772	0.6155300044
773	0.6153714906
774	0.6152761697
775	0.6152073083
776	0.6150727803
777	0.6150129481
778	0.614902096
779	0.6148716377
780	0.614766194
781	0.6147101303
782	0.6146357487
783	0.6145819529
784	0.6144097559
785	0.6141883605
786	0.6140000483
787	0.613936545
788	0.6137925902
789	0.6136874567
790	0.6135437187
791	0.6133583143
792	0.6131473612
793	0.6130529041
794	0.6130066867
795	0.6127955029
796	0.612677145
797	0.6124750323
798	0.6121956667
799	0.6119877077
800	0.6118683617
801	0.6118120741
802	0.6117299725
803	0.6116811847
804	0.6116309707
805	0.6113875929
806	0.6113446262
807	0.611150249
808	0.6111028646
809	0.6110184952
810	0.6109499857
811	0.6108494976
812	0.6107995547
813	0.6106381935
814	0.6105548245
815	0.6104550554
816	0.6103501524
817	0.6101719562
818	0.6100786868
819	0.609827876
820	0.6097641775
821	0.6095904431
822	0.6095517801
823	0.6094205082
824	0.6093639004
825	0.6093161305
826	0.6092419441
827	0.6091726079
828	0.6089307724
829	0.6088243241
830	0.6086032024
831	0.6085302054
832	0.6084564928
833	0.6083713614
834	0.6083218901
835	0.6082420606
836	0.6081972373
837	0.6079788285
838	0.6077719587
839	0.60765031
840	0.6074444645
841	0.6072781574
842	0.6071642038
843	0.6071133343
844	0.607017275
845	0.6069304381
846	0.6068335088
847	0.6067257011
848	0.6066847403
849	0.6066395829
850	0.606589432
851	0.6065190487
852	0.6064711625
853	0.6064351581
854	0.6063735801
855	0.6062303652
856	0.6061082013
857	0.606006437
858	0.6059632824
859	0.6057368163
860	0.6055755906
861	0.6053949787
862	0.605320984
863	0.6051384553
864	0.6050783694
865	0.6047974481
866	0.6047241225
867	0.6046867897
868	0.6046413577
869	0.6045897349
870	0.6045075425
871	0.6044237673
872	0.6043826649
873	0.6041247755
874	0.604033228
875	0.6039977172
876	0.6039512632
877	0.6038999189
878	0.6038690782
879	0.6037262007
880	0.6036193996
881	0.6034498203
882	0.6034164519
883	0.6032719593
884	0.6029548452
885	0.6027796858
886	0.602714459
887	0.6026829115
888	0.6025096631
889	0.6024553915
890	0.6023842238
891	0.6023093929
892	0.6022264871
893	0.6021912386
894	0.6019667647
895	0.6018858414
896	0.6018095185
897	0.6016938505
898	0.6016330321
899	0.60141792
900	0.6013034549
901	0.600933168
902	0.6008535505
903	0.6006744072
904	0.6006167849
905	0.6005410209
906	0.600394119
907	0.6003180582
908	0.6002584889
909	0.6001727255
910	0.6001334364
911	0.5997127681
912	0.5994583271
913	0.5993193236
914	0.5991255258
915	0.5989760196
916	0.5989467788
917	0.5988401595
918	0.5987816899
919	0.5987043071
920	0.5986660445
921	0.5985700099
922	0.5985148524
923	0.5983694244
924	0.5982715167
925	0.598205
926	0.5981583157
927	0.5979045538
928	0.5977756474
929	0.5975609184
930	0.5974777597
931	0.597437278
932	0.5973521924
933	0.5972127463
934	0.5971537114
935	0.5971248229
936	0.5970579944
937	0.5968485606
938	0.5967202245
939	0.5965992443
940	0.596400266
941	0.5963675515
942	0.5962364689
943	0.5961703687
944	0.5960217048
945	0.5959790823
946	0.595861318
947	0.5956843481
948	0.5955382119
949	0.5952517047
950	0.5951911311
951	0.5949089147
952	0.5948027249
953	0.59464552
954	0.5945689746
955	0.5945312723
956	0.594456847
957	0.5941953926
958	0.5940870199
959	0.5938433195
960	0.5938037953
961	0.5937580353
962	0.5937106252
963	0.5936317801
964	0.5934959511
965	0.5934369382
966	0.5933988172
967	0.5932313763
968	0.5931083943
969	0.5930722704
970	0.5930082294
971	0.5927825964
972	0.5926803496
973	0.5924056068
974	0.5923597384
975	0.5923164008
976	0.5922048533
977	0.5920217996
978	0.5919817911
979	0.5919369271
980	0.5918642498
981	0.5918304971
982	0.5917064708
983	0.5916621191
984	0.5915713754
985	0.5914644331
986	0.5913427283
987	0.5912728451
988	0.5912286732
989	0.5911700289
990	0.5911132275
991	0.5910229509
992	0.5909375593
993	0.590829641
994	0.590704518
995	0.5903951298
996	0.5902012354
997	0.5901606702
998	0.5899502946
999	0.5898615843
